STUDENT NAME,DOB,FATHER/GUARDIAN NAME,AADHAR NO,GENDER,EMAIL,CONTACT NO,ADDRESS,CITY,STATE,PINCODE
DEEPAK,15-01-2001,VIJAYKRISHNAN,1111 1111 1111,Male,deepak21@gmail.com,8838919882,"12,kavery st porur",CHENNAI,TAMILNADU,600029
DIWAKAR,08-03-2001,BALA,2222 2222 2222,Female,diwa22@gmail.com,7394630652,"1,kanda st ramapuram ",CHENNAI,TAMILNADU,600023
DINESH,14-03-2001,NITISH,3333 3333 3333,Male,dindiep@gmail.com,9343464728,"28/1 upam colony,anna nagar",CHENNAI,TAMILNADU,600101
DORA,10-06-2001,RAMESH,4444 4444 4444,Female,doraqueen@gmailcom,8945347333,"4 LAL ST, MANALI",CHENNAI,TAMILNADU,600043
CHUTKI,05-07-2001,NATRAJ,5555 5555 5555,Female,chutkib@gmail.com,8753929946,"18c suruk st , nanaripuram",CUDDALORE,TAMILNADU,643540
INDUMADHI,10-09-2001,DEEPAN,6666 6666 6666,Male,indudidi@gmail.com,9404944940,"22 ramada view st, namali",CUDDALORE,TAMILNADU,643541
BHEEM,07-10-2001,CHOTTA,7777 7777 7777,Male,bheemcho@gmail.com,8475937503,7 dusy st,DHOLAKPUR,CHANDIGHAR,384948
KALIYA,02-02-2002,JOTTA,8888 8888 8888,Female,kals1411@gmail.com,9552625253,15 RAMANUJAN NAGAR,SIRVALLI,COIMBATORE,632098
DHOLO,08-04-2002,HOLO,9999 9999 9999 ,Female,dholos@gmail.com,8987443773,34 charan st,DHOLAKPUR,CHANDIGHR,384948
BHOLO,15-01-2001,HOLO,1010 1010 1010,Female,asfdasdfjkh@gmail.com,8987443774,Mogappair,Chennai,CHANDIGHR,384949
Lilianna Munoz,08-03-2001,Hallie Mckenzie,1011 1010 1010,Female,asfdasdfjkh@gmail.com,8987443775,Mogappair,Chennai,CHANDIGHR,384950
Davis Mooney,14-03-2001,Whitney Lang,1012 1010 1010,Female,asfdasdfjkh@gmail.com,8987443776,Mogappair,Chennai,CHANDIGHR,384951
Wade Casey,10-06-2001,Miley Trujillo,1013 1010 1010,Female,asfdasdfjkh@gmail.com,8987443777,Mogappair,Chennai,CHANDIGHR,384952
Guadalupe Bautista,05-07-2001,Cynthia Sheppard,1014 1010 1010,Male,asfdasdfjkh@gmail.com,8987443778,Mogappair,Chennai,CHANDIGHR,384953
Tyshawn Mahoney,10-09-2001,Colby Leblanc,1015 1010 1010,Female,asfdasdfjkh@gmail.com,8987443779,Mogappair,Chennai,CHANDIGHR,384954
Kathryn Huffman,07-10-2001,Kara Rollins,1016 1010 1010,Female,asfdasdfjkh@gmail.com,8987443780,Mogappair,Chennai,CHANDIGHR,384955
Jonah Montoya,02-02-2002,Braeden Suarez,1017 1010 1010,Female,asfdasdfjkh@gmail.com,8987443781,Mogappair,Chennai,CHANDIGHR,384956
