STUDENT NAME,DOB,FATHER/GUARDIAN NAME,AADHAR NO,GENDER,EMAIL,CONTACT NO,ADDRESS,CITY,STATE,PINCODE
DEEPAK,15-01-2001,VIJAYKRISHNAN,1111 1111 1111,Male,deepak21@gmail.com,10,"12,kavery st porur",CHENNAI,TAMILNADU,600029
DIWAKAR,08-03-2001,BALA,2222 2222 2222,Female,diwa22@gmail.com,11,"1,kanda st ramapuram ",CHENNAI,TAMILNADU,600023
DINESH,14-03-2001,NITISH,3333 3333 3333,Male,dindiep@gmail.com,12,"28/1 upam colony,anna nagar",CHENNAI,TAMILNADU,600101
DORA,10-06-2001,RAMESH,4444 4444 4444,Female,doraqueen@gmailcom,13,"4 LAL ST, MANALI",CHENNAI,TAMILNADU,600043
CHUTKI,05-07-2001,NATRAJ,5555 5555 5555,Female,chutkib@gmail.com,14,"18c suruk st , nanaripuram",CUDDALORE,TAMILNADU,643540
INDUMADHI,10-09-2001,DEEPAN,6666 6666 6666,Male,indudidi@gmail.com,15,"22 ramada view st, namali",CUDDALORE,TAMILNADU,643541
BHEEM,07-10-2001,CHOTTA,7777 7777 7777,Male,bheemcho@gmail.com,16,7 dusy st,DHOLAKPUR,CHANDIGHAR,384948
KALIYA,02-02-2002,JOTTA,8888 8888 8888,Female,kals1411@gmail.com,17,15 RAMANUJAN NAGAR,SIRVALLI,COIMBATORE,632098
DHOLO,08-04-2002,HOLO,9999 9999 9999 ,Female,dholos@gmail.com,18,34 charan st,DHOLAKPUR,CHANDIGHR,384948
BHOLO,15-01-2001,HOLO,1010 1010 1010,Female,asfdasdfjkh@gmail.com,19,Mogappair,Chennai,CHANDIGHR,384949
Lilianna Munoz,08-03-2001,Hallie Mckenzie,1011 1010 1010,Female,asfdasdfjkh@gmail.com,20,Mogappair,Chennai,CHANDIGHR,384950
Davis Mooney,14-03-2001,Whitney Lang,1012 1010 1010,Female,asfdasdfjkh@gmail.com,21,Mogappair,Chennai,CHANDIGHR,384951
Wade Casey,10-06-2001,Miley Trujillo,1013 1010 1010,Female,asfdasdfjkh@gmail.com,22,Mogappair,Chennai,CHANDIGHR,384952
Guadalupe Bautista,05-07-2001,Cynthia Sheppard,1014 1010 1010,Male,asfdasdfjkh@gmail.com,23,Mogappair,Chennai,CHANDIGHR,384953
Tyshawn Mahoney,10-09-2001,Colby Leblanc,1015 1010 1010,Female,asfdasdfjkh@gmail.com,24,Mogappair,Chennai,CHANDIGHR,384954
Kathryn Huffman,07-10-2001,Kara Rollins,1016 1010 1010,Female,asfdasdfjkh@gmail.com,25,Mogappair,Chennai,CHANDIGHR,384955
Jonah Montoya,02-02-2002,Braeden Suarez,1017 1010 1010,Female,asfdasdfjkh@gmail.com,26,Mogappair,Chennai,CHANDIGHR,384956
Francisco Schaefer,08-04-2002,Gillian Zhang,1018 1010 1010,Female,asfdasdfjkh@gmail.com,27,Mogappair,Chennai,CHANDIGHR,384957
Jeremiah Moreno,15-01-2001,Augustus Novak,1019 1010 1010,Male,asfdasdfjkh@gmail.com,28,Mogappair,Chennai,CHANDIGHR,384958
Jamir Odonnell,08-03-2001,Krish Myers,1020 1010 1010,Female,asfdasdfjkh@gmail.com,29,Mogappair,Chennai,CHANDIGHR,384959
Karli Mcbride,14-03-2001,Rayna Butler,1021 1010 1010,Male,asfdasdfjkh@gmail.com,30,Mogappair,Chennai,CHANDIGHR,384960
Jasmine Walter,10-06-2001,Dallas Jackson,1022 1010 1010,Female,asfdasdfjkh@gmail.com,31,Mogappair,Chennai,CHANDIGHR,384961
Rose Lozano,05-07-2001,Laila Lopez,1023 1010 1010,Male,asfdasdfjkh@gmail.com,32,Mogappair,Chennai,CHANDIGHR,384962
Taliyah Vance,10-09-2001,Marissa Franco,1024 1010 1010,Male,asfdasdfjkh@gmail.com,33,Mogappair,Chennai,CHANDIGHR,384963
Konner Stone,07-10-2001,Kole Meadows,1025 1010 1010,Female,asfdasdfjkh@gmail.com,34,Mogappair,Chennai,CHANDIGHR,384964
Sebastian Lutz,02-02-2002,Lainey Henson,1026 1010 1010,Female,asfdasdfjkh@gmail.com,35,Mogappair,Chennai,CHANDIGHR,384965
Mekhi Little,08-04-2002,Danika Chavez,1027 1010 1010,Male,asfdasdfjkh@gmail.com,36,Mogappair,Chennai,CHANDIGHR,384966
Harley Ramos,15-01-2001,Ryland Hebert,1028 1010 1010,Female,asfdasdfjkh@gmail.com,37,Mogappair,Chennai,CHANDIGHR,384967
Martha Suarez,08-03-2001,Martha Matthews,1029 1010 1010,Male,asfdasdfjkh@gmail.com,38,Mogappair,Chennai,CHANDIGHR,384968
Logan Houston,14-03-2001,Aylin Hess,1030 1010 1010,Female,asfdasdfjkh@gmail.com,39,Mogappair,Chennai,CHANDIGHR,384969
Yael Rios,10-06-2001,Parker Weiss,1031 1010 1010,Male,asfdasdfjkh@gmail.com,40,Mogappair,Chennai,CHANDIGHR,384970
Bronson Hoover,05-07-2001,Kimberly Wheeler,1032 1010 1010,Female,asfdasdfjkh@gmail.com,41,Mogappair,Chennai,CHANDIGHR,384971
Franco Spence,10-09-2001,Makena Harrell,1033 1010 1010,Female,asfdasdfjkh@gmail.com,42,Mogappair,Chennai,CHANDIGHR,384972
Jamie Montes,07-10-2001,Hailee Finley,1034 1010 1010,Male,asfdasdfjkh@gmail.com,43,Mogappair,Chennai,CHANDIGHR,384973
Sophie Pope,02-02-2002,Brady Cardenas,1035 1010 1010,Male,asfdasdfjkh@gmail.com,44,Mogappair,Chennai,CHANDIGHR,384974
Harold Norton,08-04-2002,Evan Long,1036 1010 1010,Female,asfdasdfjkh@gmail.com,45,Mogappair,Chennai,CHANDIGHR,384975
Natalya Henson,15-01-2001,Sarahi Villanueva,1037 1010 1010,Male,asfdasdfjkh@gmail.com,46,Mogappair,Chennai,CHANDIGHR,384976
Brenton Kelly,08-03-2001,Jadiel Wiggins,1038 1010 1010,Female,asfdasdfjkh@gmail.com,47,Mogappair,Chennai,CHANDIGHR,384977
Kyson Zavala,14-03-2001,Dominique Douglas,1039 1010 1010,Female,asfdasdfjkh@gmail.com,48,Mogappair,Chennai,CHANDIGHR,384978
Enrique Montes,10-06-2001,Caroline Bush,1040 1010 1010,Male,asfdasdfjkh@gmail.com,49,Mogappair,Chennai,CHANDIGHR,384979
Kaiden Jenkins,05-07-2001,Abraham Hoover,1041 1010 1010,Female,asfdasdfjkh@gmail.com,50,Mogappair,Chennai,CHANDIGHR,384980
Cruz Harrison,10-09-2001,Jaylen May,1042 1010 1010,Female,asfdasdfjkh@gmail.com,51,Mogappair,Chennai,CHANDIGHR,384981
Paula Hamilton,07-10-2001,Madyson Mccoy,1043 1010 1010,Male,asfdasdfjkh@gmail.com,52,Mogappair,Chennai,CHANDIGHR,384982
Anastasia Landry,02-02-2002,Selina Cline,1044 1010 1010,Female,asfdasdfjkh@gmail.com,53,Mogappair,Chennai,CHANDIGHR,384983
Ramon Quinn,08-04-2002,Maximo Hancock,1045 1010 1010,Female,asfdasdfjkh@gmail.com,54,Mogappair,Chennai,CHANDIGHR,384984
Jordon Melton,15-01-2001,Ernest Clarke,1046 1010 1010,Male,asfdasdfjkh@gmail.com,55,Mogappair,Chennai,CHANDIGHR,384985
Kiana Olson,08-03-2001,Avah Graham,1047 1010 1010,Male,asfdasdfjkh@gmail.com,56,Mogappair,Chennai,CHANDIGHR,384986
Yusuf Heath,14-03-2001,Emery Dyer,1048 1010 1010,Male,asfdasdfjkh@gmail.com,57,Mogappair,Chennai,CHANDIGHR,384987
Regan Dodson,10-06-2001,Hanna Roman,1049 1010 1010,Female,asfdasdfjkh@gmail.com,58,Mogappair,Chennai,CHANDIGHR,384988
Nola Guerrero,05-07-2001,Elias Carney,1050 1010 1010,Male,asfdasdfjkh@gmail.com,59,Mogappair,Chennai,CHANDIGHR,384989
Antoine Benton,10-09-2001,Cayden May,1051 1010 1010,Female,asfdasdfjkh@gmail.com,60,Mogappair,Chennai,CHANDIGHR,384990
Dangelo Espinoza,07-10-2001,Chasity Adams,1052 1010 1010,Female,asfdasdfjkh@gmail.com,61,Mogappair,Chennai,CHANDIGHR,384991
Urijah Carey,02-02-2002,Dallas Booker,1053 1010 1010,Female,asfdasdfjkh@gmail.com,62,Mogappair,Chennai,CHANDIGHR,384992
Anton Ryan,08-04-2002,Easton Shields,1054 1010 1010,Female,asfdasdfjkh@gmail.com,63,Mogappair,Chennai,CHANDIGHR,384993
Journey George,15-01-2001,Laney Castaneda,1055 1010 1010,Male,asfdasdfjkh@gmail.com,64,Mogappair,Chennai,CHANDIGHR,384994
Keyla Barnes,08-03-2001,Rebekah Scott,1056 1010 1010,Female,asfdasdfjkh@gmail.com,65,Mogappair,Chennai,CHANDIGHR,384995
Zion Doyle,14-03-2001,Owen Lam,1057 1010 1010,Female,asfdasdfjkh@gmail.com,66,Mogappair,Chennai,CHANDIGHR,384996
Rihanna Burke,10-06-2001,Liberty Kirby,1058 1010 1010,Male,asfdasdfjkh@gmail.com,67,Mogappair,Chennai,CHANDIGHR,384997
Shannon Hanna,05-07-2001,Madilynn Rojas,1059 1010 1010,Female,asfdasdfjkh@gmail.com,68,Mogappair,Chennai,CHANDIGHR,384998
